Concept,Notes
The MAPK/ERK pathway: growth factor → RTK → RAS → RAF → MEK → ERK → nucleus → proliferation gene transcription; dysregulated in many cancers (BRAF V600E).,MAPK/ERK: growth factor → RTK → RAS → RAF → MEK → ERK → proliferation; BRAF V600E = cancer mutation
The PI3K-AKT-mTOR pathway: PI3K phosphorylates PIP2 → PIP3 → AKT activation → mTOR → protein synthesis + cell survival; frequently activated in cancer.,PI3K-AKT-mTOR: PI3K → PIP3 → AKT → mTOR → protein synthesis + survival; frequently hyperactivated in cancer
Base excision repair (BER): glycosylase removes damaged base → AP endonuclease nicks backbone → polymerase fills → ligase seals; handles oxidative damage.,BER: glycosylase removes base → AP endonuclease → polymerase fills → ligase; handles oxidative damage
Nucleotide excision repair (NER): recognizes bulky lesions (UV dimers); ~30 proteins; excises ~30 nt patch; global-genome NER + transcription-coupled NER.,NER: bulky lesions (UV dimers); ~30 proteins; excise ~30 nt patch; GG-NER + TC-NER
The spindle assembly checkpoint (SAC): BubR1/Mad2 inhibit APC/C until all kinetochores attached to spindle; prevents premature chromatid separation.,SAC: BubR1/Mad2 inhibit APC/C until all kinetochores attached; prevents premature sister chromatid separation
"Transcription factors bind DNA via structural motifs: zinc finger, leucine zipper (bZIP), helix-turn-helix (HTH), helix-loop-helix (HLH); often dimerize for binding.","TF DNA-binding motifs: zinc finger, bZIP (leucine zipper), HTH, HLH; often dimerize to bind DNA"
"The Src family kinases: non-receptor tyrosine kinases regulated by phosphorylation at activating Y416 and inhibitory Y527; involved in growth, adhesion, immune signaling.","Src kinases: non-receptor TK; activating Y416, inhibitory Y527; growth + adhesion + immune signaling"
"The tumor microenvironment (TME): cancer cells, stromal cells, immune cells, ECM, and vasculature interact; immunosuppressive TME (Tregs, M2 macrophages, PD-L1) enables immune escape.",TME: cancer + stroma + immune + ECM + vasculature; immunosuppressive (Tregs/M2/PD-L1) → immune escape
"Chimeric antigen receptor T cells (CAR-T): T cells engineered with synthetic receptor targeting tumor antigens (CD19); effective in B-cell malignancies; toxicities: CRS, neurotoxicity.","CAR-T: engineered T cells with synthetic tumor receptor (e.g., CD19); effective B-cell malignancies; CRS + neurotoxicity"
"Checkpoint inhibitors: anti-PD-1 (nivolumab, pembrolizumab), anti-PD-L1 (atezolizumab), anti-CTLA4 (ipilimumab); block coinhibitory signals → T cell activation; immune-related AEs.","checkpoint inhibitors: anti-PD-1 (nivo/pembro), anti-PD-L1 (atezolizumab), anti-CTLA4 (ipilimumab); block coinhibitory → T cell activation; irAEs"
The complement lectin pathway: mannose-binding lectin (MBL) binds carbohydrates on pathogens → MASP1/2 activation → C4/C2/C3 cleavage → MAC.,complement lectin: MBL binds pathogen carbs → MASP1/2 → C4/C2 → C3 → MAC
Positive selection in thymus: T cells that recognize self-MHC survive; those that don't bind die by neglect; ~5% survive; cortical thymic epithelial cells present MHC.,thymic positive selection: T cells recognize self-MHC → survive; ~5% pass; cortical TECs present MHC
Negative selection in thymus: T cells with too-high affinity for self-peptide/MHC are deleted (central tolerance); eliminates potentially autoreactive clones.,thymic negative selection: high-affinity self-peptide/MHC → clonal deletion; central tolerance; medullary TECs
Class switching (CSR): B cells switch antibody isotype (IgM → IgG/IgA/IgE) via recombination at switch regions; requires CD40L-CD40 + cytokine signals; AID enzyme.,CSR: IgM → IgG/IgA/IgE; recombination at switch regions; CD40L + cytokines + AID enzyme
Somatic hypermutation: AID introduces point mutations in V regions of Ig genes in germinal centers; affinity maturation selects high-affinity B cells.,somatic hypermutation: AID mutates Ig V regions in GCs; affinity maturation selects high-affinity B cells
The inflammasome: cytoplasmic multiprotein complex (NLRP3 most studied); senses danger signals → caspase-1 activation → IL-1β/IL-18 maturation + pyroptosis.,inflammasome: NLRP3 + caspase-1 → IL-1β/IL-18 maturation + pyroptosis; senses danger signals
Neutrophil extracellular traps (NETs): neutrophils release chromatin + antimicrobial proteins to trap pathogens; NET-osis is a form of cell death; contributes to thrombosis.,NETs: neutrophils release chromatin + antimicrobial proteins; trap pathogens; NET-osis; contributes to thrombosis
"The mTOR complex: mTORC1 (rapamycin-sensitive) promotes anabolism, senses nutrients/growth factors; mTORC2 regulates AKT + actin cytoskeleton.",mTOR: mTORC1 (rapamycin-sensitive) = anabolism + nutrient sensor; mTORC2 = AKT regulation + actin
"Warburg effect mechanism: cancer upregulates GLUT transporters and hexokinase; lactate fermentation despite O₂ supports rapid biomass synthesis (pentose phosphate, lipids).",Warburg mechanism: ↑ GLUT + hexokinase; aerobic glycolysis → lactate; supports biomass (pentose phosphate + lipid synthesis)
"The protein synthesis machinery: ribosomes (80S eukaryotic = 60S + 40S); initiation (cap-dependent, eIF4E); elongation (EF-1α delivers aa-tRNA); termination (eRF1/3).",protein synthesis: 80S ribosome (60S+40S); initiation = cap + eIF4E; elongation = EF-1α delivers aa-tRNA; termination = eRF1/3
Telomere shortening in somatic cells: lack of telomerase → replicative senescence after ~50 divisions (Hayflick limit); bypassed in cancer by telomerase reactivation or ALT.,telomere shortening: no telomerase → senescence after ~50 divisions (Hayflick); cancer bypasses via telomerase or ALT
"The integrated stress response (ISR): four kinases (HRI, GCN2, PKR, PERK) phosphorylate eIF2α → global translation inhibition + ATF4 induction; stress-adaptive.",ISR: HRI/GCN2/PKR/PERK → eIF2α-P → global translation ↓ + ATF4 ↑; stress adaptation
"Cancer hallmarks (Hanahan & Weinberg): self-sufficiency in growth signals, evading apoptosis, limitless replication, sustained angiogenesis, invasion/metastasis, resisting growth inhibitors.",cancer hallmarks: self-sufficient growth + evade apoptosis + limitless replication + angiogenesis + metastasis + resist growth inhibition
The nuclear export signal (NES) and nuclear localization signal (NLS): NLS recognized by importins → nucleus; NES recognized by exportins (CRM1/XPO1) → cytoplasm.,NLS → importins → nucleus; NES → exportins (CRM1) → cytoplasm; regulate protein localization
"Lipid rafts: cholesterol- and sphingolipid-enriched membrane microdomains; more ordered than surrounding bilayer; concentrate signaling molecules (GPI-anchored proteins, Src).","lipid rafts: cholesterol + sphingolipid microdomains; ordered phase; concentrate signaling proteins (GPI-anchored, Src)"
"Membrane potential: determined by relative permeability of ions (K⁺, Na⁺, Cl⁻) via Goldman equation; resting potential ~−70 mV in neurons dominated by K⁺ permeability.",membrane potential: Goldman equation; resting ~−70 mV; dominated by K⁺ permeability in neurons
"Phagocytosis: receptor-mediated engulfment (FcγR, CR3) of large particles → phagosome → lysosome fusion → phagolysosome → degradation; key in macrophages/neutrophils.",phagocytosis: FcγR/CR3 → phagosome → phagolysosome → degradation; macrophages + neutrophils
"Exocytosis: vesicle fusion with plasma membrane releases cargo; regulated (Ca²⁺-triggered, synaptic vesicles) vs. constitutive (continuous); SNARE proteins mediate fusion.",exocytosis: vesicle + PM fusion → cargo release; regulated (Ca²⁺-triggered) vs. constitutive; SNARE-mediated
G-protein cycle: Gα·GDP (inactive) + Gβγ; agonist-GPCR activates GEF activity → GTP exchange → Gα·GTP active → effector; intrinsic GTPase → Gα·GDP (inactivation).,G-protein cycle: Gα·GDP inactive; GPCR → GTP exchange → Gα·GTP active → effector; intrinsic GTPase → back to GDP
"Second messengers: cAMP (adenylyl cyclase, activates PKA), cGMP (guanylyl cyclase, PKG), IP3 (PLC, releases ER Ca²⁺), DAG (activates PKC), Ca²⁺ (calmodulin).","2nd messengers: cAMP (AC→PKA), cGMP (GC→PKG), IP3 (PLC→Ca²⁺), DAG (PKC), Ca²⁺ (calmodulin)"
Receptor downregulation: prolonged agonist exposure → receptor phosphorylation by GRKs → β-arrestin recruitment → internalization → lysosomal degradation or recycling.,receptor downregulation: GRK phosphorylation → β-arrestin → internalization → degrade or recycle
"The retina: photoreceptors (rods = dim light, cones = color); signal → bipolar → ganglion cells → optic nerve; center-surround receptive fields; fovea = high acuity.",retina: rods (dim) + cones (color) → bipolar → ganglion → optic nerve; center-surround RFs; fovea = high acuity
Olfactory transduction: odorant → GPCR → Golf → adenylyl cyclase III → cAMP → CNG channel → Ca²⁺/Na⁺ influx → depolarization; one neuron one receptor rule.,olfaction: odorant → GPCR → Golf → AC-III → cAMP → CNG channel → depolarization; 1 neuron = 1 receptor
The stretch reflex (myotatic): muscle stretch → Ia afferent → spinal cord → α-motor neuron → muscle contraction; monosynaptic; knee-jerk reflex example.,stretch reflex: stretch → Ia afferent → spinal α-motor neuron → contraction; monosynaptic; knee jerk
Renshaw cell inhibition: α-motor neuron collateral → Renshaw cell → releases glycine → inhibits same α-motor neuron; recurrent inhibition; limits motoneuron firing.,Renshaw inhibition: motor neuron collateral → Renshaw cell → glycine → inhibits motor neuron; recurrent inhibition
"The corticospinal tract (pyramidal): from primary motor cortex → descends, mostly crosses in medullary pyramids → lateral corticospinal tract → α-motor neurons; voluntary movement.",corticospinal tract: M1 → medullary pyramids (cross) → lateral CST → α-motor neurons; voluntary movement
